Company Name,ESG Rating Website 1,ESG Rating Website 2
1&1 AG,23.1,30
"10X Genomics, Inc.",22.6,17
3i Group Plc,10.4,48
888 Holdings Plc,19,34
AAK AB,26.7,38
"AAON, Inc.",22.8,29
Aareal Bank AG,18.7,36
Abacus Group,13.4,39
Abbott Laboratories,25.2,74
abrdn Plc,17.2,67
Abu Dhabi Commercial Bank,20.7,36
Abu Dhabi Islamic Bank,29.6,40
Accelleron Industries AG,26.6,18
Accenture Plc,9.8,60
Accor SA,18.1,43
"ACI Worldwide, Inc.",22.4,22
Ackermans & van Haaren NV,7.9,23
"ACOM Co., Ltd.",23.3,12
"Activision Blizzard, Inc.",18.5,26
"Acuity Brands, Inc.",19.4,32
"Adastria Co., Ltd.",19.7,22
"Addsino Co., Ltd.",23.7,9
Addtech AB,21.2,35
Adecco Group AG,9.1,44
Adesso SE,21.5,25
Adevinta ASA,21.9,39
Adidas AG,14.8,52
Adient plc,16,41
Admiral Group Plc,24.2,42
"Advance Auto Parts, Inc.",11.5,25
"Advanced Drainage Systems, Inc.",26.7,32
"Advanced Energy Industries, Inc.",17.8,34
"Advanced Energy Solution Holding Co., Ltd.",25.3,9
"Advanced Micro Devices, Inc.",15,53
"Advantech Co., Ltd.",19.3,80
AECOM,29.8,46
Aegon Ltd.,15.3,57
AEM Holdings Ltd.,17.5,23
"AEON Co., Ltd.",24.5,47
"AEON DELIGHT CO., LTD.",25.3,21
"AEON Financial Service Co., Ltd.",31.4,25
"AEON Mall Co., Ltd.",22,41
"Affiliated Managers Group, Inc.",21.5,39
Afflua NTP,,
"Affirm Holdings, Inc.",27.4,13
AFI Properties Ltd.,24.4,5
"AfreecaTV Co., Ltd.",20.8,30
ageas SA/NV,20.7,48
"Agilent Technologies, Inc.",13.3,57
"Agilon Health, Inc.",26,20
AGNC Investment Corp.,16.1,20
AIB Group plc,12.7,61
"Aier Eye Hospital Group Co., Ltd.",28.9,25
"Ain Holdings, Inc.",16.9,38
Air Canada,25.7,42
Air France-KLM SA,30,68
"Airbnb, Inc.",22.8,23
Airbus SE,26.2,61
Airport City Ltd.,24.4,5
Airtac International Group,34.1,32
AIXTRON SE,21.3,40
"Ajinomoto Co., Inc.",27.2,75
"Akamai Technologies, Inc.",15.1,60
Akelius Residential Property AB,15.1,39
Aker ASA,14.5,30
Aker BP ASA,34.6,66
"Akeso, Inc.",35.3,27
Al Rajhi Bank,25.3,24
"Alarm.com Holdings, Inc.",24.4,17
"Alaska Air Group, Inc.",25.6,46
Albany International Corp.,18.8,29
Aldar Properties PJSC,15.9,50
"Alexandria Real Estate Equities, Inc.",13.9,56
Algonquin Power & Utilities Corp.,21.3,60
"Align Technology, Inc.",19.1,28
Alinma Bank,30.7,20
"A-Living Smart City Services Co., Ltd.",9.3,23
Alkermes Plc,24.3,30
Allegion Plc,21.8,37
Allegro.eu SA,21.3,42
"ALLETE, Inc.",33.7,31
Allfunds Group Plc,19.3,49
Allianz SE,13.3,81
Allied Properties Real Estate Investment Trust,14,45
"Allison Transmission Holdings, Inc.",30,29
Allreal Holding AG,22.2,27
"Alnylam Pharmaceuticals, Inc.",28.4,36
Alpargatas,8,17.7
Alphabet,46,24.1
Alps Alpine Co.,37,21.7
Alstom,70,21.5
alstria office,66,12.3
AltaGas,47,31.3
Altair Engineering,23,24.9
Altarea,51,14.6
Altareit,42,15.7
Alten,36,16.7
Alteogen,21,29.4
Alteryx,30,24
Altium,28,17
Altria Group,41,31.3
Altus Group,20,8.8
Alumina,29,30
AMADA Co.,15,30.3
Amadeus IT Group,64,14.7
Amazon.com,28,30.6
Ambarella,24,33.1
Ambev,44,21.9
Ambu,37,25.1
AMC Entertainment Holdings,15,18.2
Amcor,63,17.6
Amdocs,65,14.2
Amedisys,26,22.4
Ameren,37,27.2
American Airlines Group,70,26.4
American Eagle Outfitters,21,15.1
American Equity Investment Life Holding,20,26.2
American Express,38,18.6
American Financial Group,21,27.9
American Homes 4,29,12.1
American States Water,26,30.6
American Tower,44,10.9
Americold Realty Trust,19,15.6
Ameriprise Financial,36,20.3
Ameris,27,31.7
AMETEK,43,23
AMG Critical Materials,32,39.7
Amgen,48,22.2
Amicus Therapeutics,39,27.5
AMMB Holdings,38,25
AMN Healthcare Services,46,17.2
Amorepacific,68,30.2
AmorePacific Group,58,22.2
AMP,16,18.7
Amphenol,42,19.6
Amplifon,60,15.7
Ampol,47,34.6
AmRest Holdings,32,29.6
ams-OSRAM,67,21
Amundi,34,17.7
ANA HOLDINGS,81,31.9
Anadolu Efes Biracilik ve Malt Sanayii,39,21.9
Analog Devices,44,19.9
Andritz,38,24.8
Angel Yeast Co.,13,43.7
Angelalign Technology,29,39.1
Anglo American,64,23.1
Anglo American Platinum,64,15.1
AngloGold Ashanti,61,23.2
Anheuser-Busch InBev,39,23.6
Anhui Jinhe Industrial Co.,15,28
Anhui Kouzi Distillery Co.,9,36.7
Anhui Yingjia Distillery Co.,10,35
Anhui Zhongding Sealing Parts Co.,23,25.4
Anima Holding,55,18.6
Anima Holding,55,11.5
Anjoy Foods Group Co.,13,44.5
Annaly Capital Management,35,11.2
Anora Group,39,22.7
Ansell,43,15.4
ANSYS,47,15.9
ANTA Sports Products,41,16.7
AntarChile,67,46.7
Antero Resources,44,39.8
Antofagasta,71,26.1
ANZ Group Holdings,75,22.9
Aon,29,15.2
Aozora Bank,35,23.8
AP Memory Technology,5,23.6
Apartment Income REIT,21,15.7
Apellis Pharmaceuticals,27,24.4
